id,data_type,data
117,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98051&attachNo=78909
117,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98051&attachNo=78910
117,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98051&attachNo=78911
117,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98051&attachNo=78912
117,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98051&attachNo=78913
119,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97874&attachNo=78766
121,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97829&attachNo=78719
123,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98039&attachNo=78899
123,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98039&attachNo=78901
124,image,https://www.skku.edu/_attach/image/2022/06/uidRNdNfcOvfclhfKZgp.jpg
125,image,https://www.skku.edu/_attach/image/2022/06/FfHaZdwLvKAVQWtrIGSm.png
126,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97641&attachNo=78537
126,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97641&attachNo=78538
126,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97641&attachNo=78539
126,image,https://www.skku.edu/_attach/image/2022/05/BTjEULssZvaDkEhOwpYs.jpg
127,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=95751&attachNo=76454
129,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98018&attachNo=78893
129,image,https://www.skku.edu/_attach/image/2022/06/EaZTLitMbwXxaVaVmwyo.jpg
130,image,https://www.skku.edu/cms/plugin/editorImage.do?EwBmEYHpyhTBbA1gTwDKoPYBMDOAtADQMQCNEA1ZAFwCEAFAOgCsAHAcyA%20
131,image,https://www.skku.edu/_attach/image/2020/04/BfJmSyzEkyoTPJOokRNN.png
132,image,https://www.skku.edu/_attach/image/2021/05/zDCOzQaDAXOkgmvLgHNW.jpg
134,image,https://www.skku.edu/_attach/image/2022/06/GZFDTQZqayvTmpNIfZFW.png
135,image,https://www.skku.edu/_attach/image/2022/06/jkvVmlzxjIfArvWbkJhI.png
136,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98010&attachNo=78885
137,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=94804&attachNo=75615
137,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=94804&attachNo=76175
137,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=94804&attachNo=78130
137,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=94804&attachNo=78884
138,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98009&attachNo=78883
139,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=98008&attachNo=78881
139,image,https://www.skku.edu/_attach/image/2022/06/TvXqwEuymfokRzfbBcBS.jpg
140,image,https://www.skku.edu/_attach/image/2022/06/unyIBkSYRnMBtDRSNhQn.jpg
141,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97865&attachNo=78752
141,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97865&attachNo=78753
141,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97865&attachNo=78754
141,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97865&attachNo=78755
141,image,https://www.skku.edu/_attach/image/2022/06/oUHdgHzFMfrfIbICfFWD.jpg
143,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97992&attachNo=78861
143,image,https://www.skku.edu/_attach/file/2022/06/DdJFIlzRNKGIKZORYzee.pdf
144,image,https://www.skku.edu/_attach/image/2022/06/HYhBrgbcwSqCyejBcTao.png
146,attachment,https://www.skku.edu/skku/campus/skk_comm/notice01.do?mode=download&articleNo=97977&attachNo=78840
